"","DeployID","Ptt","DepthSensor","Source","Instr","Count","Start","End","What","Number","Shape","DepthMin","DepthMax","DurationMin","DurationMax","Shallow","Deep","start","end","t.diff","flag","divenum","depth","duration"
"52","Tt0022",110608,NA,"Transmission","Mk10",1,"9/3/16 3:24","9/3/16 3:29","Dive",1,"Square",146,149.5,287,289,NA,NA,2016-09-02 23:24:00,2016-09-02 23:29:00,0,0,24,147.75,288
"53","Tt0022",110608,NA,"Transmission","Mk10",1,"9/3/16 3:29","9/3/16 3:30","Surface",NA,"",NA,NA,67,69,68,0,2016-09-02 23:29:00,2016-09-02 23:30:00,0,0,24,NA,68
"54","Tt0022",110608,NA,"Transmission","Mk10",1,"9/3/16 3:30","9/3/16 3:34","Dive",1,"U",154,157.5,259,261,NA,NA,2016-09-02 23:30:00,2016-09-02 23:34:00,0,0,25,155.75,260
"55","Tt0022",110608,NA,"Transmission","Mk10",1,"9/3/16 3:34","9/3/16 3:35","Surface",NA,"",NA,NA,53,55,54,0,2016-09-02 23:34:00,2016-09-02 23:35:00,0,0,25,NA,54
"57","Tt0022",110608,NA,"Transmission","Mk10",1,"9/5/16 2:20","9/5/16 2:24","Dive",1,"V",87,88.5,241,243,NA,NA,2016-09-04 22:20:00,2016-09-04 22:24:00,168300,1,26,87.75,242
"58","Tt0022",110608,NA,"Transmission","Mk10",1,"9/5/16 2:24","9/5/16 2:34","Surface",NA,"",NA,NA,609,611,472,138,2016-09-04 22:24:00,2016-09-04 22:34:00,0,0,26,NA,610
"59","Tt0022",110608,NA,"Transmission","Mk10",1,"9/5/16 2:34","9/5/16 2:37","Dive",1,"V",111,112.5,217,219,NA,NA,2016-09-04 22:34:00,2016-09-04 22:37:00,0,0,27,111.75,218
"60","Tt0022",110608,NA,"Transmission","Mk10",1,"9/5/16 2:37","9/5/16 2:49","Surface",NA,"",NA,NA,693,695,537,157,2016-09-04 22:37:00,2016-09-04 22:49:00,0,0,27,NA,694
"61","Tt0022",110608,NA,"Transmission","Mk10",1,"9/5/16 2:49","9/5/16 2:56","Dive",1,"U",332,339.5,413,415,NA,NA,2016-09-04 22:49:00,2016-09-04 22:56:00,0,0,28,335.75,414
"62","Tt0022",110608,NA,"Transmission","Mk10",1,"9/5/16 2:56","9/5/16 3:01","Surface",NA,"",NA,NA,323,325,230,94,2016-09-04 22:56:00,2016-09-04 23:01:00,0,0,28,NA,324
"63","Tt0022",110608,NA,"Transmission","Mk10",1,"9/5/16 3:01","9/5/16 3:05","Dive",1,"U",130,133.5,227,229,NA,NA,2016-09-04 23:01:00,2016-09-04 23:05:00,0,0,29,131.75,228
"64","Tt0022",110608,NA,"Transmission","Mk10",1,"9/5/16 3:05","9/5/16 3:10","Surface",NA,"",NA,NA,311,313,242,70,2016-09-04 23:05:00,2016-09-04 23:10:00,0,0,29,NA,312
"65","Tt0022",110608,NA,"Transmission","Mk10",1,"9/5/16 3:10","9/5/16 3:22","Dive",1,"U",720,735.5,679,681,NA,NA,2016-09-04 23:10:00,2016-09-04 23:22:00,0,0,30,727.75,680
"66","Tt0022",110608,NA,"Transmission","Mk10",1,"9/5/16 3:22","9/5/16 4:05","Surface",NA,"",NA,NA,2581,2583,2082,500,2016-09-04 23:22:00,2016-09-05 00:05:00,0,0,30,NA,2582
"68","Tt0022",110608,NA,"Transmission","Mk10",1,"9/6/16 6:53","9/6/16 6:59","Dive",1,"V",396,403.5,373,375,NA,NA,2016-09-06 02:53:00,2016-09-06 02:59:00,96480,1,31,399.75,374
"69","Tt0022",110608,NA,"Transmission","Mk10",1,"9/6/16 6:59","9/6/16 7:03","Surface",NA,"",NA,NA,265,267,172,94,2016-09-06 02:59:00,2016-09-06 03:03:00,0,0,31,NA,266
"70","Tt0022",110608,NA,"Transmission","Mk10",1,"9/6/16 7:03","9/6/16 7:10","Dive",1,"U",316,323.5,391,393,NA,NA,2016-09-06 03:03:00,2016-09-06 03:10:00,0,0,32,319.75,392
"71","Tt0022",110608,NA,"Transmission","Mk10",1,"9/6/16 7:10","9/6/16 7:12","Surface",NA,"",NA,NA,161,163,141,21,2016-09-06 03:10:00,2016-09-06 03:12:00,0,0,32,NA,162
"72","Tt0022",110608,NA,"Transmission","Mk10",1,"9/6/16 7:12","9/6/16 7:20","Dive",1,"V",468,475.5,475,477,NA,NA,2016-09-06 03:12:00,2016-09-06 03:20:00,0,0,33,471.75,476
"73","Tt0022",110608,NA,"Transmission","Mk10",1,"9/6/16 7:20","9/6/16 7:29","Surface",NA,"",NA,NA,503,505,406,98,2016-09-06 03:20:00,2016-09-06 03:29:00,0,0,33,NA,504
"74","Tt0022",110608,NA,"Transmission","Mk10",1,"9/6/16 7:29","9/6/16 7:35","Dive",1,"U",292,299.5,365,367,NA,NA,2016-09-06 03:29:00,2016-09-06 03:35:00,0,0,34,295.75,366
"75","Tt0022",110608,NA,"Transmission","Mk10",1,"9/6/16 7:35","9/6/16 7:37","Surface",NA,"",NA,NA,157,159,127,31,2016-09-06 03:35:00,2016-09-06 03:37:00,0,0,34,NA,158
"76","Tt0022",110608,NA,"Transmission","Mk10",1,"9/6/16 7:37","9/6/16 7:44","Dive",1,"U",364,371.5,371,373,NA,NA,2016-09-06 03:37:00,2016-09-06 03:44:00,0,0,35,367.75,372
"77","Tt0022",110608,NA,"Transmission","Mk10",1,"9/6/16 7:44","9/6/16 7:47","Surface",NA,"",NA,NA,183,185,142,42,2016-09-06 03:44:00,2016-09-06 03:47:00,0,0,35,NA,184
"79","Tt0022",110608,NA,"Transmission","Mk10",1,"9/6/16 7:48","9/6/16 7:54","Dive",1,"U",260,267.5,375,377,NA,NA,2016-09-06 03:48:00,2016-09-06 03:54:00,60,1,36,263.75,376
"80","Tt0022",110608,NA,"Transmission","Mk10",1,"9/6/16 7:54","9/6/16 7:58","Surface",NA,"",NA,NA,249,251,242,8,2016-09-06 03:54:00,2016-09-06 03:58:00,0,0,36,NA,250
"81","Tt0022",110608,NA,"Transmission","Mk10",1,"9/6/16 7:58","9/6/16 8:03","Dive",1,"U",238,241.5,313,315,NA,NA,2016-09-06 03:58:00,2016-09-06 04:03:00,0,0,37,239.75,314
"82","Tt0022",110608,NA,"Transmission","Mk10",1,"9/6/16 8:03","9/6/16 8:08","Surface",NA,"",NA,NA,309,311,280,30,2016-09-06 04:03:00,2016-09-06 04:08:00,0,0,37,NA,310
"83","Tt0022",110608,NA,"Transmission","Mk10",1,"9/6/16 8:08","9/6/16 8:14","Dive",1,"V",324,331.5,309,311,NA,NA,2016-09-06 04:08:00,2016-09-06 04:14:00,0,0,38,327.75,310
"84","Tt0022",110608,NA,"Transmission","Mk10",1,"9/6/16 8:14","9/6/16 8:21","Surface",NA,"",NA,NA,429,431,402,28,2016-09-06 04:14:00,2016-09-06 04:21:00,0,0,38,NA,430
"85","Tt0022",110608,NA,"Transmission","Mk10",1,"9/6/16 8:21","9/6/16 8:26","Dive",1,"U",154,157.5,319,321,NA,NA,2016-09-06 04:21:00,2016-09-06 04:26:00,0,0,39,155.75,320
"86","Tt0022",110608,NA,"Transmission","Mk10",1,"9/6/16 8:26","9/6/16 8:28","Surface",NA,"",NA,NA,113,115,110,4,2016-09-06 04:26:00,2016-09-06 04:28:00,0,0,39,NA,114
"87","Tt0022",110608,NA,"Transmission","Mk10",1,"9/6/16 8:28","9/6/16 8:34","Dive",1,"U",190,193.5,341,343,NA,NA,2016-09-06 04:28:00,2016-09-06 04:34:00,0,0,40,191.75,342
"88","Tt0022",110608,NA,"Transmission","Mk10",1,"9/6/16 8:34","9/6/16 8:39","Surface",NA,"",NA,NA,297,299,231,67,2016-09-06 04:34:00,2016-09-06 04:39:00,0,0,40,NA,298
"90","Tt0022",110608,NA,"Transmission","Mk10",1,"9/6/16 8:38","9/6/16 8:44","Dive",1,"U",324,331.5,393,395,NA,NA,2016-09-06 04:38:00,2016-09-06 04:44:00,-60,1,41,327.75,394
"91","Tt0022",110608,NA,"Transmission","Mk10",1,"9/6/16 8:44","9/6/16 8:48","Surface",NA,"",NA,NA,219,221,142,78,2016-09-06 04:44:00,2016-09-06 04:48:00,0,0,41,NA,220
"92","Tt0022",110608,NA,"Transmission","Mk10",1,"9/6/16 8:48","9/6/16 8:54","Dive",1,"U",174,177.5,355,357,NA,NA,2016-09-06 04:48:00,2016-09-06 04:54:00,0,0,42,175.75,356
