,DeployID,Ptt,DepthSensor,Source,Instr,Count,Start,End,What,Number,Shape,DepthMin,DepthMax,DurationMin,DurationMax,Shallow,Deep,start,end,t.diff,flag,divenum,depth,duration
49,Tt0019,110606,NA,Transmission,Mk10,1,9/1/2016 1:05,9/1/2016 1:09,Surface,NA,,NA,NA,279,281,181,99,8/31/2016 21:05,8/31/2016 21:09,0,0,20,NA,280
50,Tt0019,110606,NA,Transmission,Mk10,1,9/1/2016 1:09,9/1/2016 1:15,Dive,1,U,340,347.5,345,347,NA,NA,8/31/2016 21:09,8/31/2016 21:15,0,0,21,343.75,346
51,Tt0019,110606,NA,Transmission,Mk10,1,9/1/2016 1:15,9/1/2016 1:23,Surface,NA,,NA,NA,475,477,230,246,8/31/2016 21:15,8/31/2016 21:23,0,0,21,NA,476
52,Tt0019,110606,NA,Transmission,Mk10,1,9/1/2016 1:23,9/1/2016 1:30,Dive,1,U,396,403.5,391,393,NA,NA,8/31/2016 21:23,8/31/2016 21:30,0,0,22,399.75,392
53,Tt0019,110606,NA,Transmission,Mk10,1,9/1/2016 1:30,9/1/2016 1:36,Surface,NA,,NA,NA,403,405,222,182,8/31/2016 21:30,8/31/2016 21:36,0,0,22,NA,404
54,Tt0019,110606,NA,Transmission,Mk10,1,9/1/2016 1:36,9/1/2016 1:43,Dive,1,U,396,403.5,429,431,NA,NA,8/31/2016 21:36,8/31/2016 21:43,0,0,23,399.75,430
55,Tt0019,110606,NA,Transmission,Mk10,1,9/1/2016 1:43,9/1/2016 2:33,Surface,NA,,NA,NA,2959,2961,1623,1337,8/31/2016 21:43,8/31/2016 22:33,0,0,23,NA,2960
57,Tt0019,110606,NA,Transmission,Mk10,1,9/2/2016 7:36,9/2/2016 7:46,Dive,1,U,576,591.5,639,641,NA,NA,9/2/2016 3:36,9/2/2016 3:46,104580,1,24,583.75,640
58,Tt0019,110606,NA,Transmission,Mk10,1,9/2/2016 7:46,9/2/2016 7:53,Surface,NA,,NA,NA,401,403,324,78,9/2/2016 3:46,9/2/2016 3:53,0,0,24,NA,402
59,Tt0019,110606,NA,Transmission,Mk10,1,9/2/2016 7:53,9/2/2016 8:01,Dive,1,U,468,475.5,509,511,NA,NA,9/2/2016 3:53,9/2/2016 4:01,0,0,25,471.75,510
60,Tt0019,110606,NA,Transmission,Mk10,1,9/2/2016 8:01,9/2/2016 8:11,Surface,NA,,NA,NA,571,573,295,277,9/2/2016 4:01,9/2/2016 4:11,0,0,25,NA,572
61,Tt0019,110606,NA,Transmission,Mk10,1,9/2/2016 8:11,9/2/2016 8:18,Dive,1,U,308,315.5,453,455,NA,NA,9/2/2016 4:11,9/2/2016 4:18,0,0,26,311.75,454
62,Tt0019,110606,NA,Transmission,Mk10,1,9/2/2016 8:18,9/2/2016 8:21,Surface,NA,,NA,NA,163,165,132,32,9/2/2016 4:18,9/2/2016 4:21,0,0,26,NA,164
63,Tt0019,110606,NA,Transmission,Mk10,1,9/2/2016 8:21,9/2/2016 8:30,Dive,1,Square,300,307.5,541,543,NA,NA,9/2/2016 4:21,9/2/2016 4:30,0,0,27,303.75,542
64,Tt0019,110606,NA,Transmission,Mk10,1,9/2/2016 8:30,9/2/2016 8:34,Surface,NA,,NA,NA,227,229,169,59,9/2/2016 4:30,9/2/2016 4:34,0,0,27,NA,228
65,Tt0019,110606,NA,Transmission,Mk10,1,9/2/2016 8:34,9/2/2016 8:43,Dive,1,U,332,339.5,553,555,NA,NA,9/2/2016 4:34,9/2/2016 4:43,0,0,28,335.75,554
66,Tt0019,110606,NA,Transmission,Mk10,1,9/2/2016 8:43,9/2/2016 8:50,Surface,NA,,NA,NA,427,429,345,83,9/2/2016 4:43,9/2/2016 4:50,0,0,28,NA,428
69,Tt0019,110606,NA,Transmission,Mk10,2,9/2/2016 19:29,9/2/2016 19:33,Dive,1,U,73,74.5,255,257,NA,NA,9/2/2016 15:29,9/2/2016 15:33,0,0,29,73.75,256
70,Tt0019,110606,NA,Transmission,Mk10,2,9/2/2016 19:33,9/2/2016 19:36,Surface,NA,,NA,NA,203,205,184,20,9/2/2016 15:33,9/2/2016 15:36,0,0,29,NA,204
71,Tt0019,110606,NA,Transmission,Mk10,2,9/2/2016 19:36,9/2/2016 19:42,Dive,1,U,103,104.5,363,365,NA,NA,9/2/2016 15:36,9/2/2016 15:42,0,0,30,103.75,364
72,Tt0019,110606,NA,Transmission,Mk10,2,9/2/2016 19:42,9/2/2016 20:38,Surface,NA,,NA,NA,3351,3353,2271,1081,9/2/2016 15:42,9/2/2016 16:38,0,0,30,NA,3352
73,Tt0019,110606,NA,Transmission,Mk10,2,9/2/2016 20:38,9/2/2016 20:47,Dive,1,U,268,275.5,551,553,NA,NA,9/2/2016 16:38,9/2/2016 16:47,0,0,31,271.75,552
74,Tt0019,110606,NA,Transmission,Mk10,2,9/2/2016 20:47,9/2/2016 21:03,Surface,NA,,NA,NA,951,953,645,307,9/2/2016 16:47,9/2/2016 17:03,0,0,31,NA,952
75,Tt0019,110606,NA,Transmission,Mk10,2,9/2/2016 21:03,9/2/2016 21:14,Dive,1,U,592,607.5,661,663,NA,NA,9/2/2016 17:03,9/2/2016 17:14,0,0,32,599.75,662
76,Tt0019,110606,NA,Transmission,Mk10,2,9/2/2016 21:14,9/2/2016 21:53,Surface,NA,,NA,NA,2321,2323,1648,674,9/2/2016 17:14,9/2/2016 17:53,0,0,32,NA,2322
78,Tt0019,110606,NA,Transmission,Mk10,2,9/2/2016 23:22,9/2/2016 23:29,Dive,1,U,332,339.5,477,479,NA,NA,9/2/2016 19:22,9/2/2016 19:29,5340,1,33,335.75,478
79,Tt0019,110606,NA,Transmission,Mk10,2,9/2/2016 23:29,9/2/2016 23:31,Surface,NA,,NA,NA,87,89,82,6,9/2/2016 19:29,9/2/2016 19:31,0,0,33,NA,88
80,Tt0019,110606,NA,Transmission,Mk10,2,9/2/2016 23:31,9/2/2016 23:36,Dive,1,Square,75,76.5,277,279,NA,NA,9/2/2016 19:31,9/2/2016 19:36,0,0,34,75.75,278
81,Tt0019,110606,NA,Transmission,Mk10,2,9/2/2016 23:36,9/2/2016 23:37,Surface,NA,,NA,NA,93,95,79,15,9/2/2016 19:36,9/2/2016 19:37,0,0,34,NA,94
82,Tt0019,110606,NA,Transmission,Mk10,2,9/2/2016 23:37,9/2/2016 23:46,Dive,1,U,372,379.5,547,549,NA,NA,9/2/2016 19:37,9/2/2016 19:46,0,0,35,375.75,548
83,Tt0019,110606,NA,Transmission,Mk10,2,9/2/2016 23:46,9/2/2016 23:55,Surface,NA,,NA,NA,511,513,264,248,9/2/2016 19:46,9/2/2016 19:55,0,0,35,NA,512
